,address,price
0,"Jamaica Street, Glasgow,G1 4QG",£477 pcm
1,"Flat 1/3, 66 Bulldale Street",£575 pcm
2,"Nicolson Court, Glasgow, G33",£595 pcm
3,"Kittoch Street, Village, East Kilbride, South Lanarkshire, G74",£400 pcm
4,"Denholm Green, Murray , East Kilbride, South Lanarkshire, G75",£400 pcm
5,"Oak Avenue, Greenhills, South Lanarkshire, G75",£400 pcm
6,"Glen Prosen, St Leonards, East Kilbride, South Lanarkshire, G74",£375 pcm
7,"Lavender Drive, Greenhills, East Kilbride, South Lanarkshire, G75",£415 pcm
8,"Franklin Place, East Kilbride, South Lanarkshire, G75",£425 pcm
9,"Maybole Crescent, Newton Mearns, Glasgow - Available 8th January 2018!",£450 pcm
10,"Cumbernauld Road, Dennistoun, Glasgow - Available 24th January 2019!!",£385 pcm
11,"Quarryknowe Street, Parkhead, Glasgow - AVAILABLE NOW!!!",£550 pcm
12,"Killearn Street, Hamiltonhill",£550 pcm
13,"Cumbernauld Road, Dennistoun, Glasgow",£425 pcm
14,"Tillie Street, Kelvinbridge",£575 pcm
15,"Dumbarton Road, Whiteinch, Glasgow, G14",£475 pcm
16,"Donaldson Street, Kirkintilloch, GLASGOW, Lanarkshire, G66",£595 pcm
17,"Eaglesham Road, Glasgow, G75",£550 pcm
18,"Harris Close, Newton Mearns, East Renfrewshire, G77",£550 pcm
19,"Orkney Place, Govan, GLASGOW, G51",£525 pcm
20,"KILMANY DRIVE, GLASGOW, G32 7DH",£450 pcm
21,"Cuthbertson Street, Govanhill, Glasgow, G42",£395 pcm
22,"Pollokshaws Road, Shawlands, Glasgow, G41",£395 pcm
23,"Stuart Street, The Village, East Kilbride, G74",£375 pcm
24,"Dundrennan Road, Flat 0/1, Battlefield, Glasgow, G42 9SH",£595 pcm
25,"Jamaica Street, Glasgow,G1 4QG",£477 pcm
26,"Newlands Road, Glasgow, G44",£550 pcm
27,"Ardbeg Avenue, Glasgow",£575 pcm
28,"Hill Street, Flat 1/1, Garnethill, Glasgow, G3 6US",£595 pcm
29,"St Vincent Street, Main Door, Charing Cross, Glasgow, G3 8RN",£595 pcm
30,"Falkland Drive, East Kilbride, G74",£395 pcm
31,"Flat 2/4, 45 Keal Avenue, Blairdardie, Glasgow, G15",£500 pcm
32,"Bevin Court, Glasgow, G65",£550 pcm
33,"Crofthill Road, Glasgow, G44",£575 pcm
34,"Brechin Street, Finnieston, Glasgow, G3",£550 pcm
35,"Havannah House, Havannah Street, G4",£555 pcm
36,"Havannah House, Havannah Street, G4",£555 pcm
37,485 Castlemilk Road,£525 pcm
38,"Main Street, East Kilbride, G74",£395 pcm
39,"Blenheim Avenue, East Kilbride, South Lanarkshire, G75",£350 pcm
40,"Graham Terrace , Bishopbriggs, Glasgow, G64",£550 pcm
41,"Kenmure Street, Pollokshields, GLASGOW, Lanarkshire, G41",£550 pcm
42,"Telford Road, The Murray, East Kilbride, g75",£450 pcm
43," Galloway Steet, Springburn, Glasgow, G21",£575 pcm
44,"17 Egilsay Terrace, Glasgow, G22",£520 pcm
45,"Langlea Avenue, Cambuslang",£495 pcm
46,"Saltmarket, Glasgow",£525 pcm
47,"Nutberry Court, Mount Florida, Glasgow, G42",£550 pcm
48,"Cumbernauld Road, Glasgow",£395 pcm
49,"17 Egilsay Terrace, Glasgow, G22",£475 pcm
50,"Dalmarnock Drive, Glasgow, G40",£575 pcm
51,"Maybole Grove, G77 5SX",£525 pcm
52,"192 Western Road, Glasgow, G72",£450 pcm
53,"Eastwood Crescent, Thornliebank, GLASGOW, Lanarkshire, G46",£430 pcm
54,"150 Firhill Court,Glasgow,G20",£481 pcm
55,"150 Firhill Court,Glasgow,G20",£481 pcm
56,"150 Firhill Court,Glasgow,G20",£481 pcm
57,"150 Firhill Court,Glasgow,G20",£481 pcm
58,"150 Firhill Court,Glasgow,G20",£507 pcm
59,"150 Firhill Court,Glasgow,G20",£464 pcm
60,"150 Firhill Court,Glasgow,G20",£507 pcm
61,"150 Firhill Court,Glasgow,G20",£464 pcm
62,"150 Firhill Court,Glasgow,G20",£464 pcm
63,"150 Firhill Court,Glasgow,G20",£464 pcm
64,"150 Firhill Court,Glasgow,G20",£429 pcm
65,"150 Firhill Court,Glasgow,G20",£485 pcm
66,"150 Firhill Court,Glasgow,G20",£429 pcm
67,"150 Firhill Court,Glasgow,G20",£485 pcm
68,"150 Firhill Court,Glasgow,G20",£429 pcm
69,"150 Firhill Court,Glasgow,G20",£429 pcm
70,"Hillhead Street no 17 flat 2, G12",£525 pcm
71,"Elm Way, Cambuslang, South Lanarkshire, G72",£550 pcm
72,"Bowman Street, Glasgow",£375 pcm
73,"Westbourne Gardens Lane, Glasgow",£260 pcm
74,,
75,"Dorchester Avenue, Glasgow, G12",£575 pcm
76,"Flat 2/2, 830 Maryhill Road",£600 pcm
77,"Fore Street, Scotstoun",£525 pcm
78,"Ark Lane,Glasgow,G31",£575 pcm
79,"Arbroath Ave, Cardonald, Glasgow, G52",£550 pcm
80,"Craggan Drive, Glasgow G14 0EW",£595 pcm
81,"Fenella Street, Shettleston, Glasgow, G32",£515 pcm
82,"Fenella Street, Shettleston, Glasgow, G32",£545 pcm
83,"St Kenneth Drive, Glasgow",£595 pcm
84,"Auckland Street , Hamiltonhill ",£550 pcm
85,"Auckland Street , Hamiltonhill ",£550 pcm
86,"Laurel Street, Flat 1/1, Thornwood, Glasgow, G11 7RD",£550 pcm
87,"53 Fulton Street, Anniesland, GLASGOW, Lanarkshire, G13",£575 pcm
88,"Damshot Road, Glasgow, G53",£595 pcm
89,"Main Street, Rutherglen, G73 2HG",£475 pcm
90,"Crow Road, Glasgow",£475 pcm
91,"Shawpark Street, Maryhill",£550 pcm
92,"Sandaig Road, Barlanark, G33",£500 pcm
93,"Langlands Road, Glasgow, G51",£585 pcm
94,"Kyleakin Rd, Glasgow , G46",£495 pcm
95,"Bridie Terrace,East Kilbride,Glasgow,G74",£375 pcm
96,"Lindores Drive, Glasgow",£450 pcm
97,Parking Space Albion Street ,£152 pcm
98,"Mahon Court, Moodiesburn, North Lanarkshire, G69",£495 pcm
99,,
100,"Esmond Street, Yorkhill",£600 pcm
101,"1007 Crow Road, Anniesland, Glasgow, G13 1JP",£595 pcm
102,"St. Andrews Street, Glasgow, G1",£542 pcm
103,"21 St Andrews Street, Glasgow, G1 5PW",£585 pcm
104,"St. Andrews Street, Glasgow, G1",£585 pcm
105,"21 St Andrews Street, Glasgow, G1 5PW",£542 pcm
106,"Jamaica Street, Glasgow, G1",£542 pcm
107,"Jamaica Street, Glasgow, G1",£477 pcm
108,"Eriboll Street, Lambhill",£525 pcm
109,"Jamaica Street, Glasgow, G1",£520 pcm
110,"Elvan Street, Shettleston, Glasgow, G32",£495 pcm
111,"Jamaica Street, Glasgow,G1 4QG",£520 pcm
112,"Jamaica Street, Glasgow,G1 4QG",£542 pcm
113,"Ardgour Court, Blantyre, G72",£475 pcm
114,"1 Bed, Westbourne Hall, Main Street, Barrhead",£450 pcm
115,"Montford Avenue, Glasgow, Lanarkshire, G44",£575 pcm
116,"Lyttleton, East Kilbride, South Lanarkshire, G75",£420 pcm
117,"Strathclyde Gardens, Glasgow, G72",£450 pcm
118,"Renfrew Street, Garnethill",£500 pcm
119,"Barlanark Road, Glasgow, G33",£425 pcm
120,"DUMBARTON ROAD, GLASGOW, G14 0JJ",£480 pcm
121,"Ochil Street, Glasgow, G32",£575 pcm
122,"Causewayside Street, Glasgow, G32",£425 pcm
123,"Ibrox, Glasgow, G51",£399 pcm
124,,
125,"Amisfield Street, Flat 2/1, North Kelvinside, Glasgow, G20 8LD",£475 pcm
126,"Westmuir Street, Parkhead, Glasgow, G31",£475 pcm
127,"Ellerslie Road, G14 0NF",£550 pcm
128,"Chapman Street, Govanhill, Glasgow",£395 pcm
129,"Glen Mallie, East Kilbride, G74",£475 pcm
130,"Kersland Street, Hillhead, G12 8BT",£525 pcm
131,"Craighall Road, Port Dundas",£575 pcm
132,"Cumbernauld Road, Glasgow, G31",£375 pcm
133,"Eversley Street, Tollcross, Glasgow. G32",£429 pcm
134,"Curle Street, Whiteinch, Glasgow, G14",£550 pcm
135,"Kelvin Drive, The Murray, East Kilbride, G75",£495 pcm
136,"Springbank Gardens, Glasgow, G31",£535 pcm
137,"Allison Street, Glasgow, G42",£499 pcm
138,"Finlarig Street, Glasgow, G34",£475 pcm
139,"15 Greenlaw Road, Flat 2/1, Glasgow, G14 0PG",£465 pcm
140,"Hilton Gardens, Anniesland, Glasgow, G13 1DB",£595 pcm
141,"Drummore Road, Glasgow, G15",£460 pcm
142,"Gough Street, Glasgow, G33",£600 pcm
143,"Main Street, Lennoxtown G66",£575 pcm
144,"London Road, City Centre, GLASGOW, Lanarkshire, G1",£595 pcm
145,"Cherrybank Road, Glasgow, G43",£575 pcm
146,"Aberdour Street, Dennistoun, Glasgow, G31",£425 pcm
147,"2 Bed Furnished Apartment, Abercromby Dr",£525 pcm
148,"HAMILTON VIEW, UDDINGSTON",£475 pcm
149,,
150," Waverley Gardens,  Shawlands, G41",£600 pcm
151,"Arlington Place, Glasgow, G3",£575 pcm
152,"5 Elder Street, Govan, Glasgow G51 3EE",£375 pcm
153,"Fishescoates Gardens, Glasgow, G73",£595 pcm
154,"Red Deer Road, Westwood, East Kilbride, G75",£450 pcm
155,"Montrose Avenue,Carmyle,Glasgow,G32",£495 pcm
156,"Kyle Court, Glasgow, G72",£395 pcm
157,"Bonnyton Drive, Easglesham, Glasgow, G76 0LS",£450 pcm
158,"Main Street, Rutherglen, Glasgow - Available NOW!!",£495 pcm
159,"Hillbrae Street, Glasgow",£600 pcm
160,"Flat 3/2, 6 Kildonan Drive",£550 pcm
161,"Calder Street, Glasgow, G42",£550 pcm
162,"Main Street, Cambuslang, G72 7HB",£550 pcm
163,"1 Bed Part Furnished Apartment, Buccleuch Street,",£575 pcm
164," 15 Dalcross Street, Partick, G11 5RE",£550 pcm
165,"Fortingall Avenue, Glasgow, G12",£520 pcm
166,"Birnam Place, Glasgow, ML3",£375 pcm
167,"Park Terrace, Glasgow, G74",£500 pcm
168,"Skirsa Street, Glasgow",£550 pcm
169,"Wheatley Gdns, Shettleston, Glasgow, G32",£595 pcm
170,"Glen Prosen, East Kilbride, Glasgow, G74 3SZ",£390 pcm
171,"Kerr Street, Glasgow, G78",£375 pcm
172,"Tannahill Drive, East Kilbride, G74 3HT",£400 pcm
173,"Kerr Street, Barrhead, Glasgow, G78 1JS",£350 pcm
174,,
175,"2 Bed Unfurnished G/F Apartment, Milrig Rd",£595 pcm
176,"Kelburn Street, Barrhead, Glasgow, G78 1LD",£450 pcm
177,"Baldovie Road, Glasgow, Lanarkshire",£550 pcm
178,"Chirnside Place, Hillington, Glasgow, G52",£450 pcm
179,"Holehouse Drive, Glasgow, G13",£500 pcm
180,"Sanderling Place, East Kilbride, G75",£595 pcm
181,"Kirriemuir, Glasgow, G74",£475 pcm
182,"Cumming Drive, Mount Florida, Glasgow, G42",£550 pcm
183,"Kirkton Gate,East Kilbride,Glasgow,G74",£465 pcm
184,"Dunglass Avenue, East Kilbride",£375 pcm
185,"Urquhart Drive, Glasgow",£500 pcm
186,"Bridgegate Path, City Centre, Glasgow, G1",£550 pcm
187,"Fairlie Park Drive, Partick, GLASGOW, Lanarkshire, G11",£550 pcm
188,"Aberfeldy Street, Glasgow",£495 pcm
189,"Victoria Road, Glasgow, G42",£525 pcm
190,"Calder Street,Glasgow,G42",£450 pcm
191,"Baker Street, Glasgow, G41",£595 pcm
192,"Wellshot Road, Glasgow, G327AU",£475 pcm
193,"Cowgate, Kirkintilloch, Glasgow",£575 pcm
194,"1007 Crow Road, Anniesland, Glasgow, G13 1JP",£595 pcm
195,"Bannatyne Avenue, Glasgow, G31",£595 pcm
196,"Garscadden Road South, Knightswood, Glasgow, G13",£575 pcm
197,"Castlemilk Crescent, Glasgow, G44",£575 pcm
198,"Old Castle Road, Glasgow, G44",£500 pcm
199,,
200,"15 Kirn Street, Glasgow",£530 pcm
201,"Shakespeare Street, G20 8TJ",£575 pcm
202,"Amisfield Street, North Kelvinside",£595 pcm
203,"Rowantree Gardens, Rutherglen - Available 20th December 2018!",£525 pcm
204,"Balmalloch Road, Glasgow",£495 pcm
205,"Glen Moy, St Leonards, East Kilbride, South Lanarkshire, G74",£365 pcm
206,"Vryburg, Lindsayfield, East Kilbride, G75",£595 pcm
207,"Holmlea Road, Cathcart, Glasgow, G44",£475 pcm
208,"133 Dumbarton Road, PARTICK",£500 pcm
209,"Victoria Road, Flat 0/1, Glasgow, Glasgow, G42 7AB",£595 pcm
210,"Norham Street, Flat G/R, Shawlands, Glasgow, G41 3XQ",£550 pcm
211,"Loch Striven , East Kilbride, G74",£475 pcm
212,"Mallard Crescent, Greenhills, East Kilbride, G75",£350 pcm
213,"Port Dundas Road, Glasgow, G4",£595 pcm
214,"1 bed, Unfurnished, Ardgay Street, Shettleston",£375 pcm
215,"Meikle Bin Brae, Lennoxtown, G66",£575 pcm
216,"Belmont Drive, East Kilbride, Glasgow, G75",£395 pcm
217,"Appin Road, Glasgow, G31",£450 pcm
218,"London Drive, Glasgow, G32",£575 pcm
219,"Coxton Place, Easterhouse, Glasgow, G33",£475 pcm
220,"Ark Lane,Glasgow,G31",£450 pcm
221,"Rigby Drive, Carntyne, GLASGOW, Lanarkshire, G32",£595 pcm
222,"Larchfield Avenue, Glasgow, G14",£600 pcm
223,"St Peters St, St Georges Cross, Glasgow, G4",£525 pcm
224,,
225,"Banner Road , Knightswood ",£475 pcm
226,"Loch Meadie, East Kilbride, select, South Lanarkshire, G74",£425 pcm
227,"Langlands Court, Glasgow",£475 pcm
228,"Crichton Street, Springburn, Glasgow, G21",£575 pcm
229,"McArthur Park, Kirkintilloch, G66",£575 pcm
230,"Aberfoyle Street, Dennistoun, Glasgow, G31",£475 pcm
231,"Kingsheath Ave, Rutherglen",£600 pcm
232,"1048 Maryhill Road, Maryhill, Glasgow, G20 9TE",£465 pcm
233,"ACT448 Edgam Drive, Glasgow G52 2DN",£535 pcm
234,"Dyke Street, Baillieston, Glasgow, G69",£325 pcm
235,"Shields Road, Glasgow, G41",£580 pcm
236,"1 Bed, Furnished, Etive Street, Shettleston",£375 pcm
237,"Linnwood Court, Cathcart",£525 pcm
238,"Calder Street, Glasgow",£425 pcm
239,"Cathcart Road, Govanhill",£525 pcm
240,"Woodlands Road, Thornliebank, East Renfrewshire, G46",£495 pcm
241,"Flemington Street, Springburn, GLASGOW, Lanarkshire, G21",£525 pcm
242,"Woodlands Terrace, Glasgow, G3",£550 pcm
243,"Rennie Road, Kilsyth, G65",£535 pcm
244,"2 Bed Unfurnished Apartment, Shaftesbury Court",£400 pcm
245,"Paisley Road West, Glasgow, G51",£600 pcm
246,"FURNISHED Studio Apartment, Blackfriars Rd",£495 pcm
247,"Lenzie Place, Glasgow, G21",£450 pcm
248,"Middleton Street,Glasgow,G51",£395 pcm
249,,
250,"Govanhill Street,Glasgow,G42",£395 pcm
251,"Ravenscraig Drive, Glasgow, G53",£300 pcm
252,"14 Dowanhill Street Flat 9, G11",£575 pcm
253,"Paisley Road, Glasgow, G78",£450 pcm
254,"GOVANHILL, ALLISON STREET, G42 8NP - UNFURNISHED",£450 pcm
255,"Paisley Road, Glasgow, G78",£450 pcm
256,"Anwoth Street, Tollcross, G32",£595 pcm
257,"Paisley Road West, Cessnock",£375 pcm
258,"Cullen Place, Uddingston",£595 pcm
259,"Raithburn Avenue, Castlemilk",£550 pcm
260,"Holmlea Road, G44",£400 pcm
261,"Rotherwood Avenue, Glasgow",£575 pcm
262,"Loch Awe, East Kilbride, South Lanarkshire, G74",£475 pcm
263,"Muirhead Way, Glasgow",£425 pcm
264,"Raeberry Street, Glasgow, G20",£550 pcm
265,"Skye Road, Rutherglen, Glasgow, South Lanarkshire, G73",£450 pcm
266,"Laurel Place, Glasgow",£600 pcm
267,"Netherton Rd, Anniesland",£595 pcm
268,"Langlands Court, Glasgow",£575 pcm
269,115 Arbroath Avenue,£525 pcm
270,"Elizabeth Crescent, Thornliebank, East Renfrewshire, G46",£575 pcm
271,"Bruntsfield Ave, Glasgow",£475 pcm
272,"Lochview Crescent, Hogganfield ",£375 pcm
273,"Ibrox Street, Cessnock, GLASGOW, Lanarkshire, G51",£440 pcm
274,,
275,"Highfield Road, Kirkintilloch",£525 pcm
276,"Kingsheath Avenue, Rutherglen",£480 pcm
277,"Bruce Road, Glasgow, G41",£550 pcm
278,"Loch Awe, St Leonards, East Kilbride, South Lanarkshire, G74",£395 pcm
279,"Glen Feshie, East Kilbride, South Lanarkshire, G74",£340 pcm
280,"Corbett Street, Glasgow, G32",£395 pcm
281,"Clarence Gardens, Glasgow",£150 pcm
282,"Duke Street,Glasgow,G31",£550 pcm
283,"Drumover Drive, Glasgow, G31 5RP",£525 pcm
284,"Glasgow Road, Glasgow, G78",£525 pcm
285,"Croftside Avenue, Croftfoot",£550 pcm
286,"Dumbarton Road, Whiteinch, Glasgow, G11",£525 pcm
287,"Lyne Drive, Summerston, Glasgow, G23",£415 pcm
288,"Croftfoot Road, Glasgow, G45",£495 pcm
289,"4 Harris Road, Summerston, Glasgow, G23 5QH",£525 pcm
290,"Dalcross Street, Partick, GLASGOW, G11",£575 pcm
291," 18 Blenheim Court, Kilsyth, G65 0JN",£550 pcm
292,"Dalrymple Court, Kirkintilloch, Glasgow",£475 pcm
293,"Newlands Road, Cathcart",£465 pcm
294,"Queen Street, Kirkintilloch, Glasgow",£595 pcm
295,"Springburn Road, Glasgow, G21",£550 pcm
296,"8 Linden Way, Anniesland, GLASGOW, Lanarkshire, G13",£600 pcm
297,Cartside Street,£495 pcm
298,"18 Lothian Court, 21 Lethington Place, Shawlands, Glasgow G41 3BJ",£525 pcm
299,,
300,"206 Battlefield Road, Battlefield, Glasgow G42 9HN",£595 pcm
301,"Paisley Road West, Glasgow, G52",£550 pcm
302,"Gorget Avenue, Glasgow, G13",£595 pcm
303,"Abercromby Drive, Dennistoun, GLASGOW, Lanarkshire, G40",£525 pcm
304,"Somerville Drive, Glasgow, G42",£410 pcm
305,"Newabbey Road, Glasgow, G69",£595 pcm
306,"Beauly Place, East Kilbride, Glasgow, G74",£375 pcm
307,"DUMBARTON ROAD (FLAT, Glasgow",£460 pcm
308,"Neilvaig Drive, Rutherglen, South Lanarkshire, g73",£550 pcm
309,"Gladsmuir Road, Glasgow",£600 pcm
